Algorithm;;Size;Success;Count;Time;;;
MEDIUM;MEDIUM;5;True;5;0,000999689;;;
MEDIUM;MEDIUM;6;True;62;0,004996777;;;
MEDIUM;MEDIUM;7;True;9;0;;;
MEDIUM;MEDIUM;8;True;95;0,009993792;;;
MEDIUM;MEDIUM;9;True;38;0,004998684;;;
MEDIUM;MEDIUM;10;True;159;0,021984816;;;
MEDIUM;MEDIUM;11;True;55;0,007995129;;;
MEDIUM;MEDIUM;12;True;452;0,075952768;;;
MEDIUM;MEDIUM;13;True;646;0,123922586;;;
MEDIUM;MEDIUM;14;True;1297;0,278826237;;;
MEDIUM;MEDIUM;15;True;4825;1,11231637;;;
MEDIUM;MEDIUM;16;True;9864;2,501455069;;;
MEDIUM;MEDIUM;17;True;17484;4,937957525;;;
MEDIUM;MEDIUM;18;True;70324;21,84752631;;;
MEDIUM;MEDIUM;19;True;91667;31,12880826;;;
MEDIUM;MEDIUM;20;True;257801;97,27201748;;454793;159,3297515
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
MEDIUM;MOST CONSTRAINED;4;True;6;0,000999928;;;
MEDIUM;MOST CONSTRAINED;5;True;5;0;;;
MEDIUM;MOST CONSTRAINED;6;True;29;0,001998425;;;
MEDIUM;MOST CONSTRAINED;7;True;14;0,001998186;;;
MEDIUM;MOST CONSTRAINED;8;True;15;0,000999689;;;
MEDIUM;MOST CONSTRAINED;9;True;57;0,007995129;;;
MEDIUM;MOST CONSTRAINED;10;True;61;0,008993387;;;
MEDIUM;MOST CONSTRAINED;11;True;195;0,032982349;;;
MEDIUM;MOST CONSTRAINED;12;True;143;0,027982235;;;
MEDIUM;MOST CONSTRAINED;13;True;405;0,086946964;;;
MEDIUM;MOST CONSTRAINED;14;True;853;0,207869768;;;
MEDIUM;MOST CONSTRAINED;15;True;343;0,089944363;;;
MEDIUM;MOST CONSTRAINED;16;True;697;0,2048738;;;
MEDIUM;MOST CONSTRAINED;17;True;575;0,177890539;;;
MEDIUM;MOST CONSTRAINED;18;True;768;0,263838291;;;
MEDIUM;MOST CONSTRAINED;19;True;1997;0,750537395;;;
MEDIUM;MOST CONSTRAINED;20;True;5973;2,542431593;;12136;4,408282042
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
MEDIUM;LESS CONSTRAINED;4;True;6;0,000999928;;;
MEDIUM;LESS CONSTRAINED;5;True;5;0;;;
MEDIUM;LESS CONSTRAINED;6;True;29;0,002997637;;;
MEDIUM;LESS CONSTRAINED;7;True;14;0,000999212;;;
MEDIUM;LESS CONSTRAINED;8;True;15;0,000999451;;;
MEDIUM;LESS CONSTRAINED;9;True;57;0,007997751;;;
MEDIUM;LESS CONSTRAINED;10;True;61;0,008994102;;;
MEDIUM;LESS CONSTRAINED;11;True;195;0,033976316;;;
MEDIUM;LESS CONSTRAINED;12;True;143;0,027982712;;;
MEDIUM;LESS CONSTRAINED;13;True;405;0,090944052;;;
MEDIUM;LESS CONSTRAINED;14;True;853;0,211868763;;;
MEDIUM;LESS CONSTRAINED;15;True;343;0,091943741;;;
MEDIUM;LESS CONSTRAINED;16;True;691;0,217866898;;;
