;;Size;Success;Count;Time
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
LAST;MOST CONSTRAINED;4;False;0;0
LAST;MOST CONSTRAINED;5;True;5;0,000999451
LAST;MOST CONSTRAINED;6;True;33;0,001998901
LAST;MOST CONSTRAINED;7;True;9;0
LAST;MOST CONSTRAINED;8;True;49;0,003997803
LAST;MOST CONSTRAINED;9;True;94;0,009993553
LAST;MOST CONSTRAINED;10;True;152;0,018988371
LAST;MOST CONSTRAINED;11;True;191;0,027979374
LAST;MOST CONSTRAINED;12;True;637;0,112933874
LAST;MOST CONSTRAINED;13;True;276;0,054964304
LAST;MOST CONSTRAINED;14;True;1158;0,263838768
LAST;MOST CONSTRAINED;15;True;1238;0,357779503
LAST;MOST CONSTRAINED;16;True;10707;3,103134871
LAST;MOST CONSTRAINED;17;True;5057;1,622998476
LAST;MOST CONSTRAINED;18;True;52825;18,73303246
LAST;MOST CONSTRAINED;19;True;27226;10,74060655
LAST;MOST CONSTRAINED;20;True;104120;44,34311986
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
MEDIUM;FIRST;4;True;6;0,001000166
MEDIUM;FIRST;5;True;5;0
MEDIUM;FIRST;6;True;34;0,000998497
MEDIUM;FIRST;7;True;13;0,000999212
MEDIUM;FIRST;8;True;15;0,000999689
MEDIUM;FIRST;9;True;44;0,001997948
MEDIUM;FIRST;10;True;690;0,051968336
MEDIUM;FIRST;11;True;257;0,021988392
MEDIUM;FIRST;12;True;107;0,009993076
MEDIUM;FIRST;13;True;833;0,096938848
MEDIUM;FIRST;14;True;2058;0,25784111
MEDIUM;FIRST;15;True;2398;0,332794905
MEDIUM;FIRST;16;True;989;0,151909351
MEDIUM;FIRST;17;True;353;0,055965424
MEDIUM;FIRST;18;True;404;0,069955111
MEDIUM;FIRST;19;True;3958;0,78051877
MEDIUM;FIRST;20;True;4033;0,890450954
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
MEDIUM;LAST;4;True;6;0
MEDIUM;LAST;5;True;5;0
MEDIUM;LAST;6;True;34;0,001998663
MEDIUM;LAST;7;True;13;0
MEDIUM;LAST;8;True;15;0,000999928
MEDIUM;LAST;9;True;44;0,001998425
MEDIUM;LAST;10;True;690;0,052967072
MEDIUM;LAST;11;True;257;0,021984816
MEDIUM;LAST;12;True;107;0,01099515
MEDIUM;LAST;13;True;833;0,092940807
MEDIUM;LAST;14;True;2058;0,263422251
MEDIUM;LAST;15;True;2398;0,344787121
MEDIUM;LAST;16;True;989;0,153905392
MEDIUM;LAST;17;True;353;0,056964636
MEDIUM;LAST;18;True;404;0,07095623
MEDIUM;LAST;19;True;3958;0,786515713
MEDIUM;LAST;20;True;4033;0,902441263
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
MEDIUM;MEDIUM;4;True;10;0
MEDIUM;MEDIUM;5;True;5;0,001000643
MEDIUM;MEDIUM;6;True;52;0,001998186
MEDIUM;MEDIUM;7;True;9;0,000999451
MEDIUM;MEDIUM;8;True;90;0,005995989
MEDIUM;MEDIUM;9;True;74;0,004997015
MEDIUM;MEDIUM;10;True;176;0,015990019
MEDIUM;MEDIUM;11;True;384;0,039975405
MEDIUM;MEDIUM;12;True;348;0,041974545
MEDIUM;MEDIUM;13;True;447;0,05896306
MEDIUM;MEDIUM;14;True;875;0,133918047
MEDIUM;MEDIUM;15;True;2880;0,490698099
MEDIUM;MEDIUM;16;True;8597;1,59457469
MEDIUM;MEDIUM;17;True;11314;2,50145793
MEDIUM;MEDIUM;18;True;66292;15,47235656
MEDIUM;MEDIUM;19;True;112490;28,20859289
MEDIUM;MEDIUM;20;True;294505;84,8296051
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
MEDIUM;MOST CONSTRAINED;4;True;6;0
MEDIUM;MOST CONSTRAINED;5;True;5;0
MEDIUM;MOST CONSTRAINED;6;True;25;0,001998663
MEDIUM;MOST CONSTRAINED;7;True;28;0,001995564
MEDIUM;MOST CONSTRAINED;8;True;25;0,002001524
MEDIUM;MOST CONSTRAINED;9;True;41;0,00299716
MEDIUM;MOST CONSTRAINED;10;True;94;0,01099205
MEDIUM;MOST CONSTRAINED;11;True;460;0,061964273
MEDIUM;MOST CONSTRAINED;12;True;179;0,026983738
MEDIUM;MOST CONSTRAINED;13;True;554;0,099937916
MEDIUM;MOST CONSTRAINED;14;True;1700;0,36783123
MEDIUM;MOST CONSTRAINED;15;True;633;0,144910574
MEDIUM;MOST CONSTRAINED;16;True;284;0,070956945
MEDIUM;MOST CONSTRAINED;17;True;669;0,183886051
MEDIUM;MOST CONSTRAINED;18;True;2113;0,69857049
MEDIUM;MOST CONSTRAINED;19;True;592;0,196878195
MEDIUM;MOST CONSTRAINED;20;True;1033;0,38576436
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
MOST_CONSTRAINED;FIRST;4;True;9;0,000999689
MOST_CONSTRAINED;FIRST;5;True;5;0
MOST_CONSTRAINED;FIRST;6;True;27;0,000999451
MOST_CONSTRAINED;FIRST;7;True;9;0
MOST_CONSTRAINED;FIRST;8;True;89;0,005995989
MOST_CONSTRAINED;FIRST;9;True;33;0,00199914
MOST_CONSTRAINED;FIRST;10;True;257;0,019987345
MOST_CONSTRAINED;FIRST;11;True;188;0,015990019
MOST_CONSTRAINED;FIRST;12;True;193;0,019987583
MOST_CONSTRAINED;FIRST;13;True;296;0,03497839
