;;Size;Success;Count;Time;;;;;;;;;;
NORMAL;LESS CONSTRAINED;9;True;34;0,005996466;;;;;;;;;;
NORMAL;LESS CONSTRAINED;10;True;83;0,020986795;;;;;;;;;;
NORMAL;LESS CONSTRAINED;11;True;40;0,009993792;;;;;;;;;;
NORMAL;LESS CONSTRAINED;12;True;193;0,05896306;;;;;;;;;;
NORMAL;LESS CONSTRAINED;13;True;88;0,032981873;;;;;;;;;;
NORMAL;LESS CONSTRAINED;14;True;1484;0,620617151;;;;;;;;;;
NORMAL;LESS CONSTRAINED;15;True;1026;0,470710039;;;;;;;;;;
NORMAL;LESS CONSTRAINED;16;True;7560;3,816643715;;;;;;;;;;
NORMAL;LESS CONSTRAINED;17;True;4258;2,433499098;;;;;;;;;;
NORMAL;LESS CONSTRAINED;18;True;30301;18,68303251;;;;;;;;;;
NORMAL;LESS CONSTRAINED;19;True;1905;1,311188698;;;;;;;;;;
NORMAL;LESS CONSTRAINED;20;True;145151;107,2997267;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
MEDIUM;NORMAL;4;True;5;0,000999928;;;;;;;;;;
MEDIUM;NORMAL;5;True;5;0;;;;;;;;;;
MEDIUM;NORMAL;6;True;24;0,002997398;;;;;;;;;;
MEDIUM;NORMAL;7;True;12;0,001998663;;;;;;;;;;
MEDIUM;NORMAL;8;True;13;0,00199914;;;;;;;;;;
MEDIUM;NORMAL;9;True;33;0,00599575;;;;;;;;;;
MEDIUM;NORMAL;10;True;33;0,006996155;;;;;;;;;;
MEDIUM;NORMAL;11;True;99;0,023985147;;;;;;;;;;
MEDIUM;NORMAL;12;True;65;0,019987345;;;;;;;;;;
MEDIUM;NORMAL;13;True;208;0,068957567;;;;;;;;;;
MEDIUM;NORMAL;14;True;445;0,172894478;;;;;;;;;;
MEDIUM;NORMAL;15;True;199;0,086945534;;;;;;;;;;
MEDIUM;NORMAL;16;True;481;0,220863342;;;;;;;;;;
MEDIUM;NORMAL;17;True;406;0,200874805;;;;;;;;;;
MEDIUM;NORMAL;18;True;440;0,228860855;;;;;;;;;;
MEDIUM;NORMAL;19;True;1115;0,660592794;;;;;;;;;;
MEDIUM;NORMAL;20;True;3519;2,211637259;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
MEDIUM;MEDIUM;4;True;9;0;;;;;;;;;;
MEDIUM;MEDIUM;5;True;5;0,000999451;;;;;;;;;;
MEDIUM;MEDIUM;6;True;58;0,00699544;;;;;;;;;;
MEDIUM;MEDIUM;7;True;9;0,00199914;;;;;;;;;;
MEDIUM;MEDIUM;8;True;61;0,009993792;;;;;;;;;;
MEDIUM;MEDIUM;9;True;24;0,004994154;;;;;;;;;;
MEDIUM;MEDIUM;10;True;93;0,021989107;;;;;;;;;;
MEDIUM;MEDIUM;11;True;40;0,010993481;;;;;;;;;;
MEDIUM;MEDIUM;12;True;249;0,076952219;;;;;;;;;;
MEDIUM;MEDIUM;13;True;376;0,150905132;;;;;;;;;;
MEDIUM;MEDIUM;14;True;720;0,308811426;;;;;;;;;;
MEDIUM;MEDIUM;15;True;2468;1,17527318;;;;;;;;;;
MEDIUM;MEDIUM;16;True;5205;3,127109289;;;;;;;;;;
MEDIUM;MEDIUM;17;True;9488;5,632527828;;;;;;;;;;
MEDIUM;MEDIUM;18;True;39821;25,96155143;;;;;;;;;;
MEDIUM;MEDIUM;19;True;51193;38,81766152;;;;;;;;;;
MEDIUM;MEDIUM;20;True;144936;120,5676556;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;4;True;5;0,001000166;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;5;True;5;0,000998259;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;6;True;24;0,002997637;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;7;True;12;0,001998663;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;8;True;13;0,001999617;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;9;True;33;0,00599575;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;10;True;33;0,007999182;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;11;True;99;0,025981665;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;12;True;65;0,021986723;;;;;;;;;;
