Kolumna1;Kolumna2;Size;Success;Count;Time
MEDIUM;MEDIUM;11;True;40;0,009993792
MEDIUM;MEDIUM;12;True;249;0,074954271
MEDIUM;MEDIUM;13;True;376;0,124923944
MEDIUM;MEDIUM;14;True;720;0,295815706
MEDIUM;MEDIUM;15;True;2468;1,094326019
MEDIUM;MEDIUM;16;True;5205;2,665356636
MEDIUM;MEDIUM;17;True;9488;5,347704887
MEDIUM;MEDIUM;18;True;39821;24,52987456
MEDIUM;MEDIUM;19;True;51193;35,6590116
MEDIUM;MEDIUM;20;True;144936;110,5278437
MEDIUM;MOST CONSTRAINED;4;True;5;0,000999212
MEDIUM;MOST CONSTRAINED;5;True;5;0,000999928
MEDIUM;MOST CONSTRAINED;6;True;22;0,002997875
MEDIUM;MOST CONSTRAINED;7;True;11;0,00199914
MEDIUM;MOST CONSTRAINED;8;True;13;0,001997948
MEDIUM;MOST CONSTRAINED;9;True;34;0,006995678
MEDIUM;MOST CONSTRAINED;10;True;33;0,00699544
MEDIUM;MOST CONSTRAINED;11;True;95;0,024984837
MEDIUM;MOST CONSTRAINED;12;True;65;0,020987034
MEDIUM;MOST CONSTRAINED;13;True;208;0,075952768
MEDIUM;MOST CONSTRAINED;14;True;444;0,183888435
MEDIUM;MOST CONSTRAINED;15;True;187;0,087945938
MEDIUM;MOST CONSTRAINED;16;True;486;0,23985219
MEDIUM;MOST CONSTRAINED;17;True;402;0,208869696
MEDIUM;MOST CONSTRAINED;18;True;438;0,245848179
MEDIUM;MOST CONSTRAINED;19;True;1115;0,711562157
MEDIUM;MOST CONSTRAINED;20;True;3519;2,444491625
MEDIUM;LESS CONSTRAINED;4;True;5;0
MEDIUM;LESS CONSTRAINED;5;True;5;0,000999928
MEDIUM;LESS CONSTRAINED;6;True;24;0,002997637
MEDIUM;LESS CONSTRAINED;7;True;12;0,001998663
MEDIUM;LESS CONSTRAINED;8;True;13;0,00199914
MEDIUM;LESS CONSTRAINED;9;True;32;0,00699544
MEDIUM;LESS CONSTRAINED;10;True;33;0,006995916
MEDIUM;LESS CONSTRAINED;11;True;110;0,028982401
MEDIUM;LESS CONSTRAINED;12;True;53;0,016989946
MEDIUM;LESS CONSTRAINED;13;True;166;0,068959236
MEDIUM;LESS CONSTRAINED;14;True;446;0,240849018
